Disease,Symptoms
Actinic Keratosis,Crusting;Sun damage;Itchy spots;Red or brown spots
Lupus,Scaly skin;Red patches;Sensitivity to sunlight;Butterfly-shaped rash
Vitiligo,Loss of pigmentation;Lightened skin
Lupus,Butterfly-shaped rash;Scaly skin;Red patches;Sensitivity to sunlight
Moles,Raised moles;Itchy moles;Dark spots
Drug Eruption,Swelling;Rash;Fever;Itching;Red spots
Infestations/Bites,Itchy rash;Wheals;Swollen red spots;Visible bites;Lice
Unknown/Normal Variants,No symptoms;Minor blemishes;Normal pigmentation
Rosacea,Eye irritation;Redness;Visible blood vessels
Vascular Tumors,Swelling;Visible blood vessels;Painful nodules;Red or purple spots
Eczema,Blisters;Swollen skin
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Infestations/Bites,Visible bites;Wheals;Swollen red spots;Lice
Warts,Raised growths;Rough texture;Hard lumps;Itchy warts
Vascular Tumors,Visible blood vessels;Red or purple spots
Sun/Sunlight Damage,Freckles;Rough patches;Dark spots;Wrinkles;Sunburn
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Tinea,Burning sensation;Peeling skin
Moles,Raised moles;Itchy moles
Lupus,Butterfly-shaped rash;Scaly skin;Red patches;Sensitivity to sunlight
Sun/Sunlight Damage,Sunburn;Freckles;Rough patches;Dark spots
Actinic Keratosis,"Red or brown spots;Dry, scaly patches;Sun damage"
Vitiligo,Loss of pigmentation;Irregular skin color;Lightened skin
Sun/Sunlight Damage,Wrinkles;Dark spots
Candidiasis,White patches;Flaky skin
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Lichen Planus,Itchy lesions;White lines;Purple flat-topped bumps
Vitiligo,Loss of pigmentation;White patches;Irregular skin color
Psoriasis,Scaly skin;Thickened nails;Dry cracked skin;Itchy patches;Red skin
Moles,Itchy moles;Irregular border;Raised moles;Dark spots
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Candidiasis,"Red, sore skin;Flaky skin;Itchy rash;Swollen skin;White patches"
Eczema,Cracked skin;Itchy skin
Skin Cancer,Bleeding lesions;Changes in existing moles
Warts,Bumps on skin;Rough texture
Bullous Disorders,Itchy blisters;Large fluid-filled blisters
Drug Eruption,Fever;Rash
Unknown/Normal Variants,No symptoms;Minor blemishes
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Vasculitis,Fever;Rash;Red or purple patches
Candidiasis,"White patches;Red, sore skin"
Vascular Tumors,Swelling;Visible blood vessels;Red or purple spots
Unknown/Normal Variants,No symptoms;Normal pigmentation
Moles,Irregular border;Multicolored moles;Dark spots;Itchy moles
Warts,Hard lumps;Raised growths;Rough texture;Itchy warts
Vascular Tumors,Painful nodules;Swelling;Visible blood vessels;Red or purple spots
Eczema,Cracked skin;Redness;Itchy skin
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Vasculitis,Swollen blood vessels;Red or purple patches
Infestations/Bites,Itchy rash;Swollen red spots;Lice
Vascular Tumors,Swelling;Red or purple spots
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
Lichen Planus,Purple flat-topped bumps;Itchy lesions;White lines
Lichen Planus,Itchy lesions;Inflammation;Purple flat-topped bumps;White lines
Moles,Itchy moles;Multicolored moles
Lupus,Butterfly-shaped rash;Mouth sores;Scaly skin;Red patches;Sensitivity to sunlight
Lupus,Scaly skin;Mouth sores
Actinic Keratosis,Crusting;Red or brown spots
Benign Tumors,Flesh-colored bumps;Soft lumps;Non-cancerous growths
Drug Eruption,Fever;Rash
Vitiligo,Irregular skin color;Lightened skin
Drug Eruption,Fever;Itching
Lupus,Red patches;Scaly skin
Infestations/Bites,Lice;Visible bites;Swollen red spots
Lichen Planus,White lines;Purple flat-topped bumps
Rosacea,Redness;Burning sensation;Pimple-like bumps;Visible blood vessels
Sun/Sunlight Damage,Dark spots;Wrinkles;Sunburn;Freckles
Actinic Keratosis,Crusting;Sun damage
Rosacea,Pimple-like bumps;Visible blood vessels;Redness;Eye irritation
Warts,Bumps on skin;Rough texture;Hard lumps;Raised growths;Itchy warts
Lupus,Red patches;Mouth sores;Sensitivity to sunlight
Acne,Oily skin;Pimples;Whiteheads;Blackheads
Unknown/Normal Variants,No symptoms;Normal pigmentation;Minor blemishes
Acne,Oily skin;Inflamed skin
Acne,Cystic acne;Blackheads;Oily skin
Skin Cancer,Irregular borders;Bleeding lesions;Asymmetrical growth;Changes in existing moles;New growths
Infestations/Bites,Itchy rash;Visible bites
Rosacea,Redness;Visible blood vessels
Tinea,Peeling skin;Burning sensation;Itchy rash
Eczema,Dry patches;Swollen skin;Itchy skin
Rosacea,Visible blood vessels;Eye irritation;Burning sensation
Lupus,Butterfly-shaped rash;Sensitivity to sunlight;Mouth sores;Scaly skin;Red patches
Drug Eruption,Itching;Swelling;Hives;Rash
Infestations/Bites,Swollen red spots;Lice;Visible bites
Psoriasis,Itchy patches;Thickened nails;Dry cracked skin
Eczema,Cracked skin;Itchy skin
Warts,Hard lumps;Raised growths;Rough texture;Bumps on skin
Infestations/Bites,Swollen red spots;Visible bites
Skin Cancer,Bleeding lesions;New growths;Asymmetrical growth;Irregular borders
Bullous Disorders,Painful blisters;Itchy blisters;Large fluid-filled blisters
Vascular Tumors,Swelling;Painful nodules;Red or purple spots;Visible blood vessels
Sun/Sunlight Damage,Wrinkles;Dark spots;Sunburn;Rough patches;Freckles
Unknown/Normal Variants,Minor blemishes;No symptoms;Normal pigmentation
Sun/Sunlight Damage,Sunburn;Freckles;Wrinkles;Rough patches
Vascular Tumors,Swelling;Visible blood vessels;Painful nodules;Red or purple spots
Vitiligo,Lightened skin;White patches
Skin Cancer,Changes in existing moles;Asymmetrical growth;Irregular borders;New growths;Bleeding lesions
Lichen Planus,Purple flat-topped bumps;Inflammation
Acne,Pimples;Blackheads;Oily skin
Sun/Sunlight Damage,Dark spots;Wrinkles;Sunburn;Rough patches;Freckles
Moles,Raised moles;Dark spots;Multicolored moles;Itchy moles
Unknown/Normal Variants,No symptoms;Normal pigmentation
Bullous Disorders,Large fluid-filled blisters;Painful blisters
Eczema,Cracked skin;Redness;Blisters;Itchy skin
Lichen Planus,Inflammation;White lines;Itchy lesions
Unknown/Normal Variants,Normal pigmentation;No symptoms
Skin Cancer,Bleeding lesions;Changes in existing moles
Vascular Tumors,Painful nodules;Visible blood vessels;Swelling;Red or purple spots
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions"
Lupus,Red patches;Scaly skin;Mouth sores;Butterfly-shaped rash;Sensitivity to sunlight
Lichen Planus,White lines;Inflammation;Itchy lesions
Tinea,"Peeling skin;Red, ring-shaped rash;Itchy rash;Burning sensation"
Eczema,Blisters;Itchy skin;Cracked skin;Swollen skin;Redness
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Candidiasis,Swollen skin;Itchy rash
Skin Cancer,Bleeding lesions;Asymmetrical growth;Changes in existing moles
Drug Eruption,Hives;Swelling;Itching
Vasculitis,Rash;Red or purple patches;Swollen blood vessels;Fever;Skin sores
Lichen Planus,White lines;Itchy lesions;Inflammation
Drug Eruption,Rash;Red spots
Moles,Raised moles;Itchy moles;Irregular border
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths"
Eczema,Cracked skin;Itchy skin
Infestations/Bites,Swollen red spots;Wheals;Itchy rash;Visible bites
Warts,Itchy warts;Raised growths;Rough texture;Bumps on skin;Hard lumps
Acne,Oily skin;Blackheads;Pimples;Cystic acne
Rosacea,Burning sensation;Visible blood vessels;Pimple-like bumps;Eye irritation
Bullous Disorders,Itchy blisters;Painful blisters
Candidiasis,"Red, sore skin;White patches;Itchy rash;Flaky skin"
Lupus,Sensitivity to sunlight;Mouth sores;Red patches
Actinic Keratosis,Sun damage;Itchy spots
Vascular Tumors,Red or purple spots;Swelling;Visible blood vessels;Painful nodules
Tinea,"Blisters;Red, ring-shaped rash;Burning sensation"
Vitiligo,White patches;Irregular skin color;Loss of pigmentation;Lightened skin
Actinic Keratosis,"Dry, scaly patches;Crusting;Sun damage;Red or brown spots;Itchy spots"
Sun/Sunlight Damage,Wrinkles;Rough patches;Dark spots;Freckles
Infestations/Bites,Swollen red spots;Wheals
Psoriasis,Scaly skin;Thickened nails;Red skin;Dry cracked skin;Itchy patches
Unknown/Normal Variants,Normal pigmentation;No symptoms;Minor blemishes
Moles,Irregular border;Multicolored moles;Dark spots;Raised moles
Vascular Tumors,Swelling;Painful nodules
Skin Cancer,Irregular borders;New growths
Vascular Tumors,Swelling;Visible blood vessels;Painful nodules;Red or purple spots
Vitiligo,Lightened skin;Loss of pigmentation;White patches;Irregular skin color
Lupus,Scaly skin;Butterfly-shaped rash;Red patches;Mouth sores;Sensitivity to sunlight
Bullous Disorders,Itchy blisters;Painful blisters
Bullous Disorders,Large fluid-filled blisters;Painful blisters;Itchy blisters
Bullous Disorders,Itchy blisters;Large fluid-filled blisters;Painful blisters
Warts,Rough texture;Raised growths;Bumps on skin
Drug Eruption,Itching;Hives;Swelling;Rash;Fever
Infestations/Bites,Visible bites;Itchy rash
Acne,Pimples;Oily skin;Whiteheads;Inflamed skin
Psoriasis,Dry cracked skin;Thickened nails;Itchy patches;Scaly skin
Sun/Sunlight Damage,Dark spots;Wrinkles;Sunburn;Freckles;Rough patches
Benign Tumors,Soft lumps;Non-cancerous growths
Drug Eruption,Red spots;Rash;Itching
Sun/Sunlight Damage,Rough patches;Dark spots;Sunburn;Freckles
Rosacea,Eye irritation;Visible blood vessels;Burning sensation;Pimple-like bumps;Redness
Vitiligo,Loss of pigmentation;Irregular skin color
Drug Eruption,Hives;Swelling;Red spots
Unknown/Normal Variants,Minor blemishes;No symptoms;Normal pigmentation
Lichen Planus,Itchy lesions;Inflammation;Purple flat-topped bumps;White lines
Unknown/Normal Variants,Minor blemishes;No symptoms;Normal pigmentation
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Skin Cancer,Bleeding lesions;New growths;Irregular borders;Asymmetrical growth;Changes in existing moles
Infestations/Bites,Wheals;Visible bites;Itchy rash;Swollen red spots;Lice
Bullous Disorders,Large fluid-filled blisters;Itchy blisters
Sun/Sunlight Damage,Wrinkles;Dark spots;Freckles;Sunburn
Acne,Cystic acne;Whiteheads;Blackheads;Inflamed skin
Vasculitis,Red or purple patches;Swollen blood vessels;Rash;Fever
Vascular Tumors,Swelling;Red or purple spots;Visible blood vessels;Painful nodules
Benign Tumors,Non-cancerous growths;Soft lumps;Flesh-colored bumps
Rosacea,Eye irritation;Visible blood vessels;Redness;Burning sensation;Pimple-like bumps
Moles,Irregular border;Multicolored moles;Raised moles;Dark spots;Itchy moles
Rosacea,Eye irritation;Visible blood vessels;Redness
Vascular Tumors,Swelling;Visible blood vessels
Moles,Irregular border;Multicolored moles;Itchy moles;Dark spots;Raised moles
Rosacea,Pimple-like bumps;Visible blood vessels;Redness;Burning sensation;Eye irritation
Candidiasis,Itchy rash;Swollen skin
Acne,Inflamed skin;Pimples;Oily skin;Cystic acne
Infestations/Bites,Wheals;Visible bites
Psoriasis,Scaly skin;Dry cracked skin;Red skin;Thickened nails
Infestations/Bites,Wheals;Lice;Visible bites;Swollen red spots;Itchy rash
Warts,Itchy warts;Bumps on skin;Hard lumps;Raised growths
Candidiasis,"White patches;Itchy rash;Swollen skin;Red, sore skin;Flaky skin"
Skin Cancer,New growths;Irregular borders;Changes in existing moles
Infestations/Bites,Wheals;Visible bites;Swollen red spots;Itchy rash;Lice
Infestations/Bites,Swollen red spots;Itchy rash;Lice
Infestations/Bites,Visible bites;Itchy rash
Sun/Sunlight Damage,Rough patches;Sunburn;Dark spots;Wrinkles;Freckles
Drug Eruption,Itching;Fever
Warts,Itchy warts;Rough texture;Hard lumps;Raised growths;Bumps on skin
Vascular Tumors,Painful nodules;Visible blood vessels;Red or purple spots;Swelling
Moles,Multicolored moles;Itchy moles
Infestations/Bites,Wheals;Lice;Visible bites;Swollen red spots;Itchy rash
Warts,Rough texture;Itchy warts;Raised growths;Bumps on skin;Hard lumps
Eczema,Dry patches;Redness;Cracked skin
Tinea,"Blisters;Itchy rash;Burning sensation;Red, ring-shaped rash;Peeling skin"
Vasculitis,Rash;Swollen blood vessels;Fever;Skin sores
Infestations/Bites,Swollen red spots;Visible bites;Lice
Lupus,Sensitivity to sunlight;Butterfly-shaped rash;Mouth sores;Red patches;Scaly skin
Actinic Keratosis,Red or brown spots;Itchy spots;Sun damage;Crusting
Actinic Keratosis,"Itchy spots;Dry, scaly patches;Sun damage"
Psoriasis,Itchy patches;Red skin;Scaly skin;Dry cracked skin
Tinea,"Red, ring-shaped rash;Itchy rash;Blisters"
Tinea,"Itchy rash;Blisters;Burning sensation;Red, ring-shaped rash"
Eczema,Blisters;Swollen skin;Itchy skin;Dry patches
Candidiasis,"Red, sore skin;Itchy rash"
Drug Eruption,Hives;Red spots;Rash
Candidiasis,"Red, sore skin;Flaky skin;Itchy rash;White patches;Swollen skin"
Unknown/Normal Variants,Normal pigmentation;No symptoms
Vasculitis,Fever;Rash;Swollen blood vessels
Eczema,Cracked skin;Blisters;Redness;Swollen skin;Itchy skin
Sun/Sunlight Damage,Dark spots;Sunburn;Wrinkles;Freckles;Rough patches
Lupus,Butterfly-shaped rash;Scaly skin;Sensitivity to sunlight
Drug Eruption,Swelling;Itching;Fever;Red spots
Actinic Keratosis,"Crusting;Dry, scaly patches"
Moles,Dark spots;Multicolored moles;Irregular border;Raised moles
Rosacea,Redness;Pimple-like bumps;Burning sensation;Visible blood vessels;Eye irritation
Moles,Irregular border;Dark spots
Lichen Planus,Itchy lesions;Purple flat-topped bumps
Sun/Sunlight Damage,Dark spots;Wrinkles;Sunburn
Vascular Tumors,Swelling;Red or purple spots
Warts,Hard lumps;Bumps on skin;Raised growths;Rough texture
Vascular Tumors,Swelling;Red or purple spots;Visible blood vessels;Painful nodules
Psoriasis,Red skin;Itchy patches;Thickened nails
Unknown/Normal Variants,Normal pigmentation;No symptoms;Minor blemishes
Skin Cancer,Changes in existing moles;New growths;Asymmetrical growth
Lichen Planus,Inflammation;Itchy lesions;White lines;Purple flat-topped bumps
Vascular Tumors,Red or purple spots;Visible blood vessels
Rosacea,Burning sensation;Visible blood vessels;Eye irritation;Pimple-like bumps
Lichen Planus,Inflammation;White lines;Itchy lesions
Tinea,"Red, ring-shaped rash;Itchy rash"
Acne,Blackheads;Oily skin;Cystic acne;Pimples;Inflamed skin
Lichen Planus,Inflammation;White lines
Lupus,Scaly skin;Red patches;Mouth sores;Sensitivity to sunlight
Lichen Planus,Inflammation;Purple flat-topped bumps;Itchy lesions
Rosacea,Burning sensation;Pimple-like bumps
Unknown/Normal Variants,Minor blemishes;No symptoms;Normal pigmentation
Psoriasis,Dry cracked skin;Scaly skin;Thickened nails;Itchy patches;Red skin
Actinic Keratosis,Crusting;Red or brown spots;Itchy spots;Sun damage
Bullous Disorders,Itchy blisters;Painful blisters
Vascular Tumors,Visible blood vessels;Swelling;Painful nodules;Red or purple spots
Moles,Irregular border;Itchy moles;Dark spots
Vitiligo,Irregular skin color;Loss of pigmentation;Lightened skin;White patches
Lichen Planus,Itchy lesions;Purple flat-topped bumps
Bullous Disorders,Painful blisters;Large fluid-filled blisters;Itchy blisters
Vascular Tumors,Painful nodules;Red or purple spots;Swelling
Vascular Tumors,Swelling;Red or purple spots
Acne,Blackheads;Inflamed skin;Pimples;Cystic acne;Whiteheads
Lupus,Mouth sores;Butterfly-shaped rash
Lupus,Mouth sores;Red patches
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots;Waxy, raised lesions"
Vitiligo,Irregular skin color;Lightened skin
Lichen Planus,Purple flat-topped bumps;White lines;Itchy lesions;Inflammation
Moles,Multicolored moles;Irregular border;Itchy moles
Warts,Raised growths;Itchy warts;Bumps on skin
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths;Itchy spots"
Lichen Planus,Purple flat-topped bumps;Inflammation
Warts,Raised growths;Hard lumps;Rough texture
Infestations/Bites,Lice;Itchy rash;Wheals;Visible bites
Vitiligo,White patches;Irregular skin color
Acne,Inflamed skin;Cystic acne;Pimples;Blackheads;Whiteheads
Candidiasis,White patches;Itchy rash
Drug Eruption,Itching;Red spots;Swelling
Candidiasis,"Flaky skin;White patches;Red, sore skin;Swollen skin;Itchy rash"
Actinic Keratosis,Red or brown spots;Crusting;Itchy spots
Lichen Planus,White lines;Inflammation;Purple flat-topped bumps
Skin Cancer,Asymmetrical growth;New growths;Changes in existing moles;Irregular borders;Bleeding lesions
Skin Cancer,Asymmetrical growth;Bleeding lesions;New growths;Changes in existing moles
Moles,Dark spots;Multicolored moles;Irregular border
Acne,Oily skin;Whiteheads;Inflamed skin;Blackheads;Cystic acne
Moles,Raised moles;Multicolored moles;Itchy moles
Tinea,"Itchy rash;Red, ring-shaped rash;Burning sensation"
Benign Tumors,Soft lumps;Flesh-colored bumps;Non-cancerous growths
Infestations/Bites,Lice;Swollen red spots
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Acne,Inflamed skin;Cystic acne
Vasculitis,Red or purple patches;Fever;Swollen blood vessels;Skin sores
Eczema,Redness;Blisters;Dry patches;Cracked skin
Infestations/Bites,Wheals;Lice;Itchy rash;Swollen red spots;Visible bites
Unknown/Normal Variants,Minor blemishes;No symptoms
Sun/Sunlight Damage,Rough patches;Freckles;Dark spots;Sunburn;Wrinkles
Eczema,Swollen skin;Blisters;Cracked skin;Redness;Dry patches
Actinic Keratosis,"Crusting;Dry, scaly patches;Sun damage;Itchy spots;Red or brown spots"
Drug Eruption,Red spots;Hives
Lichen Planus,Itchy lesions;Purple flat-topped bumps
Eczema,Swollen skin;Redness;Blisters;Dry patches;Itchy skin
Sun/Sunlight Damage,Wrinkles;Dark spots;Sunburn;Rough patches;Freckles
Actinic Keratosis,"Sun damage;Itchy spots;Red or brown spots;Dry, scaly patches;Crusting"
Drug Eruption,Swelling;Itching;Red spots
Eczema,Dry patches;Redness;Blisters;Itchy skin;Cracked skin
Vasculitis,Red or purple patches;Skin sores
Lupus,Butterfly-shaped rash;Mouth sores;Sensitivity to sunlight;Red patches
Candidiasis,Flaky skin;Swollen skin
Eczema,Itchy skin;Cracked skin;Redness;Blisters
Warts,Hard lumps;Rough texture;Itchy warts;Raised growths;Bumps on skin
Candidiasis,"Red, sore skin;Swollen skin;White patches"
